BHID,FROM,TO,ROCK
DH2675,82,100,6
DH2675,100,112,8
DH2737,64,86,6
DH2737,86,116,8
DH2812,65.5999984741211,78,6
DH2812,78,106,8
DH2813,87.4000015258789,102,6
DH2813,102,130.10000610351562,8
DH2832,82.3499984741211,102,6
DH2832,102,108.5999984741211,8
DH4266,86.80000305175781,102,6
DH4266,102,118,8
DH4267,109.69999694824219,120,6
DH4267,120,140.6999969482422,8
DH4269,80,97.5999984741211,6
DH4269,97.5999984741211,116,8
DH4270,86,96,6
DH4270,96,121,8
DH4271,94.5999984741211,100,6
DH4271,100,131.5,8
DH4272,104.5,110,6
DH4272,110,128,8
DH4278,70.69999694824219,82,6
DH4278,82,102.69999694824219,8
DH4280,95.5,120,6
DH4280,120,131.5,8
DH4281,81.0999984741211,100,6
DH4281,100,134.5,8
DH4282,65.04000091552734,82,6
DH4282,82,107.30000305175781,8
DH4283,69.30000305175781,86,6
DH4283,86,109.69999694824219,8
DH4285,86.30000305175781,122,6
DH4285,122,142,8
DH4286,65.69999694824219,102,6
DH4286,102,122.19999694824219,8
DH4287,103.0999984741211,142,6
DH4287,142,144,8
DH4288,84.0999984741211,118,6
DH4288,118,135.8000030517578,8
DH4289,77.4000015258789,106,6
DH4289,106,112.5999984741211,8
DH4290,76,98,6
DH4290,98,114,8
DH4291,96,110,6
DH4291,110,126,8
DH4292,105,144,6
DH4293,96.69999694824219,128,6
DH4293,128,140.5,8
DH4294,87,104,6
DH4294,104,119.5,8
DH4295,84.19999694824219,106,6
DH4295,106,112.5,8
